referral_id,referrer_id,referee_id,referral_source,referral_source_category,referral_at,transaction_id,transaction_status,transaction_type,reward_value,description,is_reward_granted,is_business_logic_valid
9331c8f144dad5a3b8e4a10467b4343a,2c71c5d66c7e12a0b3c200ba6ed3b78e,f1327c9d6d4efee6ad69e7e467b605b9,Draft Transaction,Offline,2024-05-01 05:17:31+00:00,bc3a22d1b0c651d0c807a9bdaed08e8d,,,,,,False
9331c8f144dad5a3b8e4a10467b4343a,2c71c5d66c7e12a0b3c200ba6ed3b78e,f1327c9d6d4efee6ad69e7e467b605b9,Draft Transaction,Offline,2024-05-01 05:17:31+00:00,bc3a22d1b0c651d0c807a9bdaed08e8d,,,,,,False
9331c8f144dad5a3b8e4a10467b4343a,2c71c5d66c7e12a0b3c200ba6ed3b78e,f1327c9d6d4efee6ad69e7e467b605b9,Draft Transaction,Offline,2024-05-01 05:17:31+00:00,bc3a22d1b0c651d0c807a9bdaed08e8d,,,,,,False
9331c8f144dad5a3b8e4a10467b4343a,2c71c5d66c7e12a0b3c200ba6ed3b78e,f1327c9d6d4efee6ad69e7e467b605b9,Draft Transaction,Offline,2024-05-01 05:17:31+00:00,bc3a22d1b0c651d0c807a9bdaed08e8d,,,,,,False
9331c8f144dad5a3b8e4a10467b4343a,2c71c5d66c7e12a0b3c200ba6ed3b78e,f1327c9d6d4efee6ad69e7e467b605b9,Draft Transaction,Offline,2024-05-01 05:17:31+00:00,bc3a22d1b0c651d0c807a9bdaed08e8d,,,,,,False
9331c8f144dad5a3b8e4a10467b4343a,2c71c5d66c7e12a0b3c200ba6ed3b78e,f1327c9d6d4efee6ad69e7e467b605b9,Draft Transaction,Offline,2024-05-01 05:17:31+00:00,bc3a22d1b0c651d0c807a9bdaed08e8d,,,,,,False
9331c8f144dad5a3b8e4a10467b4343a,2c71c5d66c7e12a0b3c200ba6ed3b78e,f1327c9d6d4efee6ad69e7e467b605b9,Draft Transaction,Offline,2024-05-01 05:17:31+00:00,bc3a22d1b0c651d0c807a9bdaed08e8d,,,,,,False
9331c8f144dad5a3b8e4a10467b4343a,2c71c5d66c7e12a0b3c200ba6ed3b78e,f1327c9d6d4efee6ad69e7e467b605b9,Draft Transaction,Offline,2024-05-01 05:17:31+00:00,bc3a22d1b0c651d0c807a9bdaed08e8d,,,,,,False
9331c8f144dad5a3b8e4a10467b4343a,2c71c5d66c7e12a0b3c200ba6ed3b78e,f1327c9d6d4efee6ad69e7e467b605b9,Draft Transaction,Offline,2024-05-01 05:17:31+00:00,bc3a22d1b0c651d0c807a9bdaed08e8d,,,,,,False
9331c8f144dad5a3b8e4a10467b4343a,2c71c5d66c7e12a0b3c200ba6ed3b78e,f1327c9d6d4efee6ad69e7e467b605b9,Draft Transaction,Offline,2024-05-01 05:17:31+00:00,bc3a22d1b0c651d0c807a9bdaed08e8d,,,,,,False
9331c8f144dad5a3b8e4a10467b4343a,2c71c5d66c7e12a0b3c200ba6ed3b78e,f1327c9d6d4efee6ad69e7e467b605b9,Draft Transaction,Offline,2024-05-01 05:17:31+00:00,bc3a22d1b0c651d0c807a9bdaed08e8d,,,,,,False
9331c8f144dad5a3b8e4a10467b4343a,2c71c5d66c7e12a0b3c200ba6ed3b78e,f1327c9d6d4efee6ad69e7e467b605b9,Draft Transaction,Offline,2024-05-01 05:17:31+00:00,bc3a22d1b0c651d0c807a9bdaed08e8d,,,,,,False
9331c8f144dad5a3b8e4a10467b4343a,2c71c5d66c7e12a0b3c200ba6ed3b78e,f1327c9d6d4efee6ad69e7e467b605b9,Draft Transaction,Offline,2024-05-01 05:17:31+00:00,bc3a22d1b0c651d0c807a9bdaed08e8d,,,,,,False
6371079a92bcbf0c16ae5fcdf4fc9c10,2c71c5d66c7e12a0b3c200ba6ed3b78e,12dd343d282fb7915f55982937c30b87,User Sign Up,Online,2024-04-22 15:04:57+00:00,4c8cae052f19cea66544affc759b76ee,,,,,,False
6371079a92bcbf0c16ae5fcdf4fc9c10,2c71c5d66c7e12a0b3c200ba6ed3b78e,12dd343d282fb7915f55982937c30b87,User Sign Up,Online,2024-04-22 15:04:57+00:00,4c8cae052f19cea66544affc759b76ee,,,,,,False
6371079a92bcbf0c16ae5fcdf4fc9c10,2c71c5d66c7e12a0b3c200ba6ed3b78e,12dd343d282fb7915f55982937c30b87,User Sign Up,Online,2024-04-22 15:04:57+00:00,4c8cae052f19cea66544affc759b76ee,,,,,,False
6371079a92bcbf0c16ae5fcdf4fc9c10,2c71c5d66c7e12a0b3c200ba6ed3b78e,12dd343d282fb7915f55982937c30b87,User Sign Up,Online,2024-04-22 15:04:57+00:00,4c8cae052f19cea66544affc759b76ee,,,,,,False
6371079a92bcbf0c16ae5fcdf4fc9c10,2c71c5d66c7e12a0b3c200ba6ed3b78e,12dd343d282fb7915f55982937c30b87,User Sign Up,Online,2024-04-22 15:04:57+00:00,4c8cae052f19cea66544affc759b76ee,,,,,,False
